ordem;restaurant_id;categoria;nome;descricao;preco_exportado_reais;disponivel_no_csv_original;origem_preco_exportado;preco_bruto_origem_centavos;caminho_categorias;source_id;json_pointer;opcoes_e_adicionais;sinalizacoes;status_revisao;observacoes_ike
1;meet_and_eat;Entradas Frias;Carpaccio Angus;Delicadas fatias de carne angus ao molho de mostarda, mel e alcaparras. Servido com alcaparras e parmesão crocante. Acompanha torrada, opcional buquet de folhas.;86,00;true;price direto;8600;Cardápio Principal > Entradas Frias;630385546e7cb6001194ccf1;/body/0/menus/0/menuItems/0;;;PENDENTE;
2;meet_and_eat;Entradas Frias;Carpaccio de Salmão;Finas lâminas de salmão , supremo de limão siciliano e molho ponzu.;178,00;true;price direto;17800;Cardápio Principal > Entradas Frias;630387bcdaf31500126bffec;/body/0/menus/0/menuItems/1;;;PENDENTE;
3;meet_and_eat;Entradas Frias;Carpaccio De Shitake;Cogumelos shitake grelhado, molho de shoyo fermentado trufado, gergelim torrado, raspas de limão siciliano e buquê mix de folhas. Acompanha torrada.;118,00;true;price direto;11800;Cardápio Principal > Entradas Frias;6303859890426500118fff96;/body/0/menus/0/menuItems/2;;;PENDENTE;
4;meet_and_eat;Entradas Frias;Sashimeat De Wagyu;Sashimi de wagyu servido na pedra de sal, com molho tonkatsu e shoyo fermentado doce. Levemente maçaricado na mesa.;92,00;true;price direto;9200;Cardápio Principal > Entradas Frias;630383f2cfc5af0012c2135c;/body/0/menus/0/menuItems/3;;;PENDENTE;
5;meet_and_eat;Entradas Frias;Steak Sushi;Uramaki - Sushi de filé mignon, recheado com carne angus batida na ponta da faca e  creem cheese, com salmao flambado por fora.  Servido com molho tonkatsu e couve crispy ( 8 unidades );62,00;true;price direto;6200;Cardápio Principal > Entradas Frias;630383831b684f0011d0840c;/body/0/menus/0/menuItems/4;;;PENDENTE;
6;meet_and_eat;Entradas Frias;Steak Tartare;Filet mignon picado na ponta da faca, temperado com alcaparras, picles, cebola roxa, mostarda Dijon. Servido com batata frita.;94,00;true;price direto;9400;Cardápio Principal > Entradas Frias;6303851790426500118fff8e;/body/0/menus/0/menuItems/5;;;PENDENTE;
7;meet_and_eat;Entradas Frias;Chips e Cream;Chips de batata e sour cream;64,00;true;price direto;6400;Cardápio Principal > Entradas Frias;699e318190867999b1c3bafd;/body/0/menus/0/menuItems/6;;;PENDENTE;
8;meet_and_eat;Entradas Quentes;Camarão Spicy;Tempurá de camarão ao molho levemente apimentado de maionese com sriracha.;76,00;true;price direto;7600;Cardápio Principal > Entradas Quentes;630384db9411f1001180bc19;/body/0/menus/1/menuItems/0;;;PENDENTE;
9;meet_and_eat;Entradas Quentes;Corn Cake e Gorgonzola;5 unidades de croqueta de milho com muçarela e gorgonzola. Acompanha molho sweet chilli (molho de pimenta doce).;58,00;true;price direto;5800;Cardápio Principal > Entradas Quentes;660484239d252f006ffa3ced;/body/0/menus/1/menuItems/1;;;PENDENTE;
10;meet_and_eat;Entradas Quentes;Gouda Crispy;5 unidades de queijo gouda empanado e montado com tartar de salmao fresco e ovas negras e leve toque de maionese de sriracha.;84,00;true;price direto;8400;Cardápio Principal > Entradas Quentes;66211fddec9b27006e7dec07;/body/0/menus/1/menuItems/2;;;PENDENTE;
